Time,bit-x,bitfinex,bitstamp,btce,coinbase,itbit,lakebtc,mtgox,okcoin,others
2013-07-24 00:00:00 UTC,,1618.34266729,9049.17679268,2584.33439806,,,,13827.2039573,,1552.3382066
2013-07-25 00:00:00 UTC,,3345.36886327,10384.33351157,3699.00663056,,,,21666.37016526,,1924.59326633
2013-07-26 00:00:00 UTC,,973.53390157,6479.08345094,3632.22206263,,,,10435.79598856,,1790.69270314
2013-07-27 00:00:00 UTC,,1427.28403652,3489.15396964,2331.83099006,,,,14637.4790579,,1100.02296285
2013-07-28 00:00:00 UTC,,3411.06759994,7294.35296151,3518.26825446,,,,42022.37440094,,746.0626426900001
2013-07-29 00:00:00 UTC,,2712.34032741,10250.84060044,4436.7901959,,,,23930.02363512,,1446.07771043
2013-07-30 00:00:00 UTC,,3558.87774625,11695.36756812,4359.15842298,,,,26911.7736967,,2439.2318754
2013-07-31 00:00:00 UTC,,5708.72022212,16542.8556755,7094.46529122,,,,44785.59508539,,2084.39725192
2013-08-01 00:00:00 UTC,,3534.33334448,7832.16050467,3156.17681266,,,,13994.49186792,,1848.6205790599997
2013-08-02 00:00:00 UTC,,5444.95317153,15167.13519903,4281.64648323,,,,26584.84983005,,1937.63447185
2013-08-03 00:00:00 UTC,,2406.7126632,4499.20906438,1726.16351125,,,,8342.91897611,,934.0424060199999
2013-08-04 00:00:00 UTC,,1011.16940019,3019.67129901,1758.41954018,,,,6101.207154,,657.13252658
2013-08-05 00:00:00 UTC,,2944.5466979,10959.06224455,2960.02283967,,,,14507.93054182,,1604.97828291
2013-08-06 00:00:00 UTC,,2531.28944375,9248.61209517,2825.09302258,,,,12234.56543444,,1793.26195181
2013-08-07 00:00:00 UTC,,1576.176273,6181.01059933,2371.97096785,,,,6791.44510279,,1838.9634500000002
2013-08-08 00:00:00 UTC,,4701.13478028,13929.48992749,6063.03300185,,,,23221.28619327,,1625.5463823599998
2013-08-09 00:00:00 UTC,,5799.07629596,11734.81645019,1830.47836734,,,,10979.38698891,,1810.85203258
2013-08-10 00:00:00 UTC,,754.8018569,3115.45505946,2344.81912143,,,,3411.33361023,,1021.61344132
2013-08-11 00:00:00 UTC,,703.22305316,1863.55256347,2538.67317359,,,,7870.90128899,,722.76855172
2013-08-12 00:00:00 UTC,,2950.84243717,7203.7336517,2775.70925403,,,,19141.59538553,,1975.90621949
2013-08-13 00:00:00 UTC,,3644.09122657,12839.82124946,2382.23660704,,,,17808.46728542,,2063.70781037
2013-08-14 00:00:00 UTC,,7832.14442446,17984.72993636,5044.15249459,,,,49406.6795257501,,2462.88202755
2013-08-15 00:00:00 UTC,,1749.74382402,9499.15582414,2576.44258632,,,,14794.82106232,,2161.67061714
2013-08-16 00:00:00 UTC,,1945.81185098,9306.11308233,1945.88211582,,,,12567.47612245,,1661.39367652
2013-08-17 00:00:00 UTC,,1601.91017454,5533.56584068,1279.67596373,,,,12258.65847473,,1369.18929458
2013-08-18 00:00:00 UTC,,929.14723601,2757.60749158,1290.94032437,,,,9324.88050685,,681.83746041
2013-08-19 00:00:00 UTC,,7038.3170631,20192.55382498,4699.54138434,,,,51420.1349240401,,3426.04476061
2013-08-20 00:00:00 UTC,,3887.65063901,11512.55473348,2428.82739275,,,,23213.8588757,,2185.6448655599997
2013-08-21 00:00:00 UTC,,9461.08726163,23840.03185926,5668.10613446,,,,29616.9148976401,,2542.72160235
2013-08-22 00:00:00 UTC,,4026.72231985,12231.88358405,3416.10035599,,,,12815.3886876,,2543.41692141
2013-08-23 00:00:00 UTC,,5316.11409683,9469.67629666,3521.02715847,,,,18231.25161964,,2355.58016503
2013-08-24 00:00:00 UTC,,2760.95065165,4332.68697991,1949.82363797,,,,8370.82050358,,1193.22227729
2013-08-25 00:00:00 UTC,,5981.7118022,9343.16273408,3225.40239798,,2.0,,6748.54753559,,1100.3086528200001
2013-08-26 00:00:00 UTC,,4105.75356866,10842.80342417,2991.50689564,,1.0,,10115.2755731,,2324.78365307
2013-08-27 00:00:00 UTC,,8861.29718058,18923.38202825,6002.42963869,,,,52815.7304366503,,3036.78413249
2013-08-28 00:00:00 UTC,,3508.16170538,10195.73119445,3061.8195672,,,,11556.08807684,,1714.65145845
2013-08-29 00:00:00 UTC,,2722.03372053,9789.33885357,1712.80603778,,,,7362.92437175,,1993.1788606500002
2013-08-30 00:00:00 UTC,,9634.03948353,17110.16990151,5041.78304417,,,,44989.7539017698,,2785.6466885199998
2013-08-31 00:00:00 UTC,,12537.83420063,19916.99585071,5162.41167007,,,,30617.80027032,,1454.7088257999999
2013-09-01 00:00:00 UTC,,2117.60762314,8021.56323583,2703.97938636,,,,13933.37846615,,641.9899653599999
2013-09-02 00:00:00 UTC,,4229.80472061,8939.39980324,3418.2559108,,,,10444.51454011,,601.26833945
2013-09-03 00:00:00 UTC,,3621.71363356,11994.57661966,2179.54684467,,,,15761.4693530801,,1898.38720341
2013-09-04 00:00:00 UTC,,9377.23333298,18774.59540099,8230.41464098999,,,,27617.9571232001,,2364.65436072
2013-09-05 00:00:00 UTC,,7294.63083098,19111.64779909,4425.80769788,,,,25687.39499566,,2685.15731356
2013-09-06 00:00:00 UTC,,5683.34157265,19391.20825469,4168.07841308,,,,18159.81754973,,2227.83452363
2013-09-07 00:00:00 UTC,,2899.83061764,9676.9974976,3106.03521379,,,,13551.30085697,,1180.78694133
2013-09-08 00:00:00 UTC,,2707.40051492,5458.68589096,2110.97218197,,,,7127.43201275999,,668.82371864
